recency,frequency,monetary,monetary_percentile_adj,recency_percentile_adj,frequency_percentile_adj,rfm_class,detail_cust_title
12,8,2447.54,2,3,2,223,Loyal Customer
5,10,6917.34,3,3,2,233,Very Loyal
69,5,3550.1,2,2,1,122,High Risk Customer
30,4,4217.24,2,3,1,123,Recent Customer
129,3,1306.7800000000002,2,2,1,122,High Risk Customer
111,4,2892.09,2,2,1,122,High Risk Customer
8,5,2695.2200000000003,2,3,1,123,Recent Customer
191,4,3245.75,2,1,1,121,Lost Customer
2,7,4054.2499999999995,2,3,2,223,Loyal Customer
83,10,3345.01,2,2,2,222,Potential Customer
11,3,1096.46,2,3,1,123,Recent Customer
23,10,3993.710000000001,2,3,2,223,Loyal Customer
137,4,2193.0600000000004,2,2,1,122,High Risk Customer
178,4,2753.7499999999995,2,2,1,122,High Risk Customer
76,2,1779.58,2,2,1,122,High Risk Customer
205,6,5494.910000000001,3,1,2,231,Loosing Customer
7,6,2780.7200000000003,2,3,2,223,Loyal Customer
26,5,803.89,1,3,1,113,Recent Customer
14,6,2946.42,2,3,2,223,Loyal Customer
115,7,4549.5,2,2,2,222,Potential Customer
20,8,3543.2,2,3,2,223,Loyal Customer
27,5,1496.4499999999998,2,3,1,123,Recent Customer
64,7,3377.12,2,2,2,222,Potential Customer
26,9,5161.44,3,3,2,233,Very Loyal
3,6,2699.8999999999996,2,3,2,223,Loyal Customer
159,3,2138.3500000000004,2,2,1,122,High Risk Customer
4,11,3917.3399999999992,2,3,3,323,Loyal Customer
13,4,2474.77,2,3,1,123,Recent Customer
28,7,3140.3,2,3,2,223,Loyal Customer
194,2,217.05999999999995,1,1,1,111,Lost Customer
34,6,5034.16,3,2,2,232,Potential Customer
43,5,3268.4,2,2,1,122,High Risk Customer
18,6,2204.4799999999996,2,3,2,223,Loyal Customer
75,4,2446.51,2,2,1,122,High Risk Customer
0,7,5665.410000000001,3,3,2,233,Very Loyal
158,2,1966.88,2,2,1,122,High Risk Customer
64,7,5522.51,3,2,2,232,Potential Customer
23,5,683.6300000000001,1,3,1,113,Recent Customer
8,3,1088.42,2,3,1,123,Recent Customer
16,5,3095.3699999999994,2,3,1,123,Recent Customer
135,4,492.2299999999999,1,2,1,112,High Risk Customer
65,6,4627.35,2,2,2,222,Potential Customer
66,6,2935.3700000000003,2,2,2,222,Potential Customer
93,2,2614.1600000000003,2,2,1,122,High Risk Customer
159,1,459.46000000000015,1,2,1,112,High Risk Customer
98,3,1329.61,2,2,1,122,High Risk Customer
114,2,1101.28,2,2,1,122,High Risk Customer
198,3,786.1400000000001,1,1,1,111,Lost Customer
8,9,6182.52,3,3,2,233,Very Loyal
63,8,4197.44,2,2,2,222,Potential Customer
14,9,5993.34,3,3,2,233,Very Loyal
61,3,696.26,1,2,1,112,High Risk Customer
100,4,1820.81,2,2,1,122,High Risk Customer
18,8,4833.139999999999,2,3,2,223,Loyal Customer
11,7,2348.66,2,3,2,223,Loyal Customer
15,9,6549.509999999999,3,3,2,233,Very Loyal
11,10,7628.24,3,3,2,233,Very Loyal
64,5,2170.54,2,2,1,122,High Risk Customer
22,5,3090.0700000000006,2,3,1,123,Recent Customer
37,12,4108.6,2,2,3,322,Potential Customer
32,4,2184.58,2,2,1,122,High Risk Customer
40,3,1814.59,2,2,1,122,High Risk Customer
11,7,4065.3500000000004,2,3,2,223,Loyal Customer
50,5,2365.2400000000002,2,2,1,122,High Risk Customer
13,7,5409.120000000001,3,3,2,233,Very Loyal
102,6,3187.8399999999997,2,2,2,222,Potential Customer
32,3,2181.3500000000004,2,2,1,122,High Risk Customer
8,7,3547.6800000000003,2,3,2,223,Loyal Customer
23,6,2166.17,2,3,2,223,Loyal Customer
14,7,3014.88,2,3,2,223,Loyal Customer
15,6,2658.87,2,3,2,223,Loyal Customer
3,5,5329.98,3,3,1,133,Recent Customer
29,4,704.2800000000002,1,3,1,113,Recent Customer
105,1,834.9399999999999,1,2,1,112,High Risk Customer
79,4,1519.4700000000003,2,2,1,122,High Risk Customer
24,5,2551.5,2,3,1,123,Recent Customer
108,3,2608.28,2,2,1,122,High Risk Customer
0,7,9633.409999999998,3,3,2,233,Very Loyal
146,8,3737.9999999999995,2,2,2,222,Potential Customer
27,9,3651.7100000000005,2,3,2,223,Loyal Customer
58,9,6631.870000000001,3,2,2,232,Potential Customer
15,4,2650.53,2,3,1,123,Recent Customer
7,9,7283.86,3,3,2,233,Very Loyal
28,8,4369.02,2,3,2,223,Loyal Customer
18,3,1295.9100000000003,2,3,1,123,Recent Customer
11,5,1481.12,2,3,1,123,Recent Customer
27,8,6287.290000000001,3,3,2,233,Very Loyal
52,9,2008.2699999999995,2,2,2,222,Potential Customer
77,4,3816.6499999999996,2,2,1,122,High Risk Customer
279,3,1630.03,2,1,1,121,Lost Customer
27,5,3342.02,2,3,1,123,Recent Customer
107,5,3081.0700000000006,2,2,1,122,High Risk Customer
22,6,2957.0299999999997,2,3,2,223,Loyal Customer
39,9,4090.05,2,2,2,222,Potential Customer
187,2,1790.41,2,1,1,121,Lost Customer
28,11,8544.5,3,3,3,333,Platinum Customer
56,6,2498.8399999999997,2,2,2,222,Potential Customer
3,8,3889.3900000000003,2,3,2,223,Loyal Customer
16,4,2152.05,2,3,1,123,Recent Customer
4,8,2335.6900000000005,2,3,2,223,Loyal Customer
14,4,1476.17,2,3,1,123,Recent Customer
40,6,1688.33,2,2,2,222,Potential Customer
15,6,4304.11,2,3,2,223,Loyal Customer
18,6,3865.6800000000007,2,3,2,223,Loyal Customer
20,2,1428.06,2,3,1,123,Recent Customer
52,7,4410.07,2,2,2,222,Potential Customer
1,6,3692.0900000000006,2,3,2,223,Loyal Customer
37,3,1587.5500000000002,2,2,1,122,High Risk Customer
116,2,1173.8600000000001,2,2,1,122,High Risk Customer
26,5,3906.03,2,3,1,123,Recent Customer
77,5,3719.75,2,2,1,122,High Risk Customer
60,5,1811.8399999999997,2,2,1,122,High Risk Customer
36,11,5319.630000000001,3,2,3,332,Very Loyal
45,4,2344.5200000000004,2,2,1,122,High Risk Customer
141,6,3157.5899999999997,2,2,2,222,Potential Customer
17,6,2187.0899999999997,2,3,2,223,Loyal Customer
11,9,5763.129999999999,3,3,2,233,Very Loyal
2,11,4685.820000000001,2,3,3,323,Loyal Customer
6,4,2434.64,2,3,1,123,Recent Customer
26,8,3635.04,2,3,2,223,Loyal Customer
107,5,3112.5699999999997,2,2,1,122,High Risk Customer
1,9,5928.23,3,3,2,233,Very Loyal
88,6,2338.2099999999996,2,2,2,222,Potential Customer
47,4,1922.8199999999997,2,2,1,122,High Risk Customer
131,7,2558.7,2,2,2,222,Potential Customer
74,5,2193.55,2,2,1,122,High Risk Customer
194,3,3269.2,2,1,1,121,Lost Customer
12,5,2213.0199999999995,2,3,1,123,Recent Customer
27,9,3174.16,2,3,2,223,Loyal Customer
112,7,4913.16,2,2,2,222,Potential Customer
134,7,3193.3199999999997,2,2,2,222,Potential Customer
47,9,2236.13,2,2,2,222,Potential Customer
31,7,4019.05,2,2,2,222,Potential Customer
38,4,1210.0,2,2,1,122,High Risk Customer
62,5,2597.6400000000003,2,2,1,122,High Risk Customer
17,5,1191.29,2,3,1,123,Recent Customer
41,7,6780.95,3,2,2,232,Potential Customer
57,11,6813.82,3,2,3,332,Very Loyal
0,5,1728.66,2,3,1,123,Recent Customer
92,5,3650.5300000000007,2,2,1,122,High Risk Customer
18,5,1642.58,2,3,1,123,Recent Customer
27,4,2124.65,2,3,1,123,Recent Customer
8,9,3381.41,2,3,2,223,Loyal Customer
50,9,4033.1499999999996,2,2,2,222,Potential Customer
10,5,2117.8599999999997,2,3,1,123,Recent Customer
46,7,3476.9399999999996,2,2,2,222,Potential Customer
48,4,1025.2999999999997,2,2,1,122,High Risk Customer
79,4,2692.9100000000003,2,2,1,122,High Risk Customer
32,4,1742.83,2,2,1,122,High Risk Customer
69,4,2713.19,2,2,1,122,High Risk Customer
168,5,1668.85,2,2,1,122,High Risk Customer
7,7,4625.21,2,3,2,223,Loyal Customer
202,2,1026.2700000000002,2,1,1,121,Lost Customer
91,7,3842.0699999999997,2,2,2,222,Potential Customer
28,10,6519.24,3,3,2,233,Very Loyal
149,4,790.0600000000001,1,2,1,112,High Risk Customer
132,7,4141.68,2,2,2,222,Potential Customer
3,6,1107.9499999999998,2,3,2,223,Loyal Customer
21,4,1967.13,2,3,1,123,Recent Customer
248,1,827.1599999999999,1,1,1,111,Lost Customer
14,6,2455.9300000000003,2,3,2,223,Loyal Customer
43,11,7360.53,3,2,3,332,Very Loyal
9,4,2233.67,2,3,1,123,Recent Customer
69,2,624.15,1,2,1,112,High Risk Customer
91,6,4926.57,2,2,2,222,Potential Customer
133,5,3251.42,2,2,1,122,High Risk Customer
7,6,2626.74,2,3,2,223,Loyal Customer
137,4,1954.7,2,2,1,122,High Risk Customer
138,1,1408.91,2,2,1,122,High Risk Customer
44,4,1808.7299999999996,2,2,1,122,High Risk Customer
44,9,3924.11,2,2,2,222,Potential Customer
40,2,605.01,1,2,1,112,High Risk Customer
58,7,3631.6000000000004,2,2,2,222,Potential Customer
10,5,1991.9300000000003,2,3,1,123,Recent Customer
115,7,5509.67,3,2,2,232,Potential Customer
34,7,4539.9,2,2,2,222,Potential Customer
8,3,2515.29,2,3,1,123,Recent Customer
8,4,3599.1800000000007,2,3,1,123,Recent Customer
8,10,5285.59,3,3,2,233,Very Loyal
92,7,6897.92,3,2,2,232,Potential Customer
156,5,3475.8999999999996,2,2,1,122,High Risk Customer
93,2,89.71000000000001,1,2,1,112,High Risk Customer
276,2,255.41000000000014,1,1,1,111,Lost Customer
43,3,3247.08,2,2,1,122,High Risk Customer
80,9,2785.0400000000004,2,2,2,222,Potential Customer
33,7,2700.88,2,2,2,222,Potential Customer
123,2,239.35000000000002,1,2,1,112,High Risk Customer
15,9,3660.95,2,3,2,223,Loyal Customer
25,6,4086.21,2,3,2,223,Loyal Customer
9,4,2208.58,2,3,1,123,Recent Customer
8,7,4744.19,2,3,2,223,Loyal Customer
61,6,4054.480000000001,2,2,2,222,Potential Customer
13,6,5001.71,3,3,2,233,Very Loyal
17,6,3186.63,2,3,2,223,Loyal Customer
20,8,3200.1500000000005,2,3,2,223,Loyal Customer
27,9,2200.11,2,3,2,223,Loyal Customer
11,4,2158.71,2,3,1,123,Recent Customer
51,5,3537.3900000000003,2,2,1,122,High Risk Customer
9,7,3632.18,2,3,2,223,Loyal Customer
71,5,3955.91,2,2,1,122,High Risk Customer
12,10,7204.660000000002,3,3,2,233,Very Loyal
12,5,2006.1799999999998,2,3,1,123,Recent Customer
1,12,10341.569999999998,4,3,3,343,Platinum Customer
35,6,2020.7300000000002,2,2,2,222,Potential Customer
21,5,1779.6999999999996,2,3,1,123,Recent Customer
133,6,4465.08,2,2,2,222,Potential Customer
161,3,1201.2499999999998,2,2,1,122,High Risk Customer
16,5,3498.63,2,3,1,123,Recent Customer
4,8,2357.8,2,3,2,223,Loyal Customer
34,6,3618.01,2,2,2,222,Potential Customer
107,6,5296.799999999999,3,2,2,232,Potential Customer
82,6,4404.67,2,2,2,222,Potential Customer
263,2,239.35000000000002,1,1,1,111,Lost Customer
22,7,3320.1000000000004,2,3,2,223,Loyal Customer
56,6,2127.59,2,2,2,222,Potential Customer
24,2,456.9899999999999,1,3,1,113,Recent Customer
82,5,2598.16,2,2,1,122,High Risk Customer
37,6,3388.8199999999997,2,2,2,222,Potential Customer
10,7,2343.71,2,3,2,223,Loyal Customer
58,5,4327.24,2,2,1,122,High Risk Customer
30,8,2781.36,2,3,2,223,Loyal Customer
134,2,955.0799999999999,1,2,1,112,High Risk Customer
93,4,667.15,1,2,1,112,High Risk Customer
103,9,5193.5599999999995,3,2,2,232,Potential Customer
8,9,8101.26,3,3,2,233,Very Loyal
19,7,3971.4599999999996,2,3,2,223,Loyal Customer
12,9,6420.7,3,3,2,233,Very Loyal
59,7,8326.369999999999,3,2,2,232,Potential Customer
125,6,2071.99,2,2,2,222,Potential Customer
166,5,1669.26,2,2,1,122,High Risk Customer
4,6,1008.7100000000002,2,3,2,223,Loyal Customer
11,2,1438.6200000000001,2,3,1,123,Recent Customer
25,6,4404.400000000001,2,3,2,223,Loyal Customer
23,11,6792.83,3,3,3,333,Platinum Customer
67,6,3101.72,2,2,2,222,Potential Customer
45,5,2662.75,2,2,1,122,High Risk Customer
61,5,2358.0,2,2,1,122,High Risk Customer
15,8,4455.490000000001,2,3,2,223,Loyal Customer
70,2,1405.99,2,2,1,122,High Risk Customer
8,10,2921.7599999999998,2,3,2,223,Loyal Customer
8,5,5070.23,3,3,1,133,Recent Customer
146,7,3428.15,2,2,2,222,Potential Customer
0,5,1473.04,2,3,1,123,Recent Customer
14,6,9458.169999999998,3,3,2,233,Very Loyal
11,6,3329.97,2,3,2,223,Loyal Customer
50,7,4724.04,2,2,2,222,Potential Customer
115,6,2692.7,2,2,2,222,Potential Customer
43,6,3634.4500000000003,2,2,2,222,Potential Customer
13,9,3939.7299999999996,2,3,2,223,Loyal Customer
101,8,3931.7700000000004,2,2,2,222,Potential Customer
111,7,3290.2599999999998,2,2,2,222,Potential Customer
9,5,5004.52,3,3,1,133,Recent Customer
31,8,2598.13,2,2,2,222,Potential Customer
223,1,1103.43,2,1,1,121,Lost Customer
13,6,5271.75,3,3,2,233,Very Loyal
91,4,487.99999999999994,1,2,1,112,High Risk Customer
43,3,368.1700000000001,1,2,1,112,High Risk Customer
6,12,4276.970000000001,2,3,3,323,Loyal Customer
124,7,3236.3199999999997,2,2,2,222,Potential Customer
145,2,640.9300000000001,1,2,1,112,High Risk Customer
35,8,6196.16,3,2,2,232,Potential Customer
2,8,4534.240000000001,2,3,2,223,Loyal Customer
35,7,1657.4499999999998,2,2,2,222,Potential Customer
51,3,987.4899999999999,1,2,1,112,High Risk Customer
85,5,2917.59,2,2,1,122,High Risk Customer
78,9,5220.5199999999995,3,2,2,232,Potential Customer
66,5,2415.9700000000003,2,2,1,122,High Risk Customer
31,3,3417.7799999999997,2,2,1,122,High Risk Customer
55,3,1834.0300000000002,2,2,1,122,High Risk Customer
113,6,2123.26,2,2,2,222,Potential Customer
76,6,1511.2,2,2,2,222,Potential Customer
56,4,1315.06,2,2,1,122,High Risk Customer
101,7,5025.310000000001,3,2,2,232,Potential Customer
146,2,866.5799999999999,1,2,1,112,High Risk Customer
45,8,5445.46,3,2,2,232,Potential Customer
30,7,4597.74,2,3,2,223,Loyal Customer
29,6,4647.130000000001,2,3,2,223,Loyal Customer
45,5,2618.0,2,2,1,122,High Risk Customer
12,7,938.4999999999998,1,3,2,213,Loyal Customer
49,6,5020.5,3,2,2,232,Potential Customer
134,5,2688.92,2,2,1,122,High Risk Customer
29,7,3643.0299999999997,2,3,2,223,Loyal Customer
56,6,4965.429999999999,2,2,2,222,Potential Customer
56,6,3653.6899999999996,2,2,2,222,Potential Customer
18,9,4965.7,2,3,2,223,Loyal Customer
14,6,3338.3399999999997,2,3,2,223,Loyal Customer
106,6,3486.14,2,2,2,222,Potential Customer
9,9,4096.06,2,3,2,223,Loyal Customer
17,5,3082.2799999999997,2,3,1,123,Recent Customer
13,4,2267.84,2,3,1,123,Recent Customer
6,7,2177.9300000000003,2,3,2,223,Loyal Customer
187,5,2553.8300000000004,2,1,1,121,Lost Customer
27,3,1055.0300000000002,2,3,1,123,Recent Customer
167,5,3822.8,2,2,1,122,High Risk Customer
47,6,2304.56,2,2,2,222,Potential Customer
248,2,1490.77,2,1,1,121,Lost Customer
88,5,3085.9799999999996,2,2,1,122,High Risk Customer
70,7,3807.6400000000003,2,2,2,222,Potential Customer
28,6,3325.13,2,3,2,223,Loyal Customer
14,7,5027.369999999999,3,3,2,233,Very Loyal
59,10,3652.17,2,2,2,222,Potential Customer
56,6,3952.1500000000005,2,2,2,222,Potential Customer
133,4,2390.84,2,2,1,122,High Risk Customer
141,5,1589.8199999999997,2,2,1,122,High Risk Customer
74,7,4525.19,2,2,2,222,Potential Customer
25,7,7388.6,3,3,2,233,Very Loyal
59,9,6933.150000000001,3,2,2,232,Potential Customer
109,4,2515.6800000000003,2,2,1,122,High Risk Customer
51,8,3355.11,2,2,2,222,Potential Customer
18,8,3652.2599999999998,2,3,2,223,Loyal Customer
65,6,5625.17,3,2,2,232,Potential Customer
138,1,1215.34,2,2,1,122,High Risk Customer
21,8,5110.170000000001,3,3,2,233,Very Loyal
15,9,3754.1600000000008,2,3,2,223,Loyal Customer
297,2,1027.8899999999999,2,1,1,121,Lost Customer
102,4,4727.750000000001,2,2,1,122,High Risk Customer
50,3,2124.71,2,2,1,122,High Risk Customer
48,6,3045.5999999999995,2,2,2,222,Potential Customer
51,8,7692.39,3,2,2,232,Potential Customer
99,6,2750.24,2,2,2,222,Potential Customer
11,8,2481.1899999999996,2,3,2,223,Loyal Customer
62,3,1750.76,2,2,1,122,High Risk Customer
13,7,2789.25,2,3,2,223,Loyal Customer
205,6,3171.14,2,1,2,221,Loosing Customer
45,7,3807.4599999999996,2,2,2,222,Potential Customer
24,11,8081.860000000001,3,3,3,333,Platinum Customer
52,8,5363.299999999999,3,2,2,232,Potential Customer
0,6,2781.88,2,3,2,223,Loyal Customer
188,4,2413.08,2,1,1,121,Lost Customer
133,6,3292.4000000000005,2,2,2,222,Potential Customer
82,4,3178.3,2,2,1,122,High Risk Customer
24,5,1561.59,2,3,1,123,Recent Customer
67,3,1600.9,2,2,1,122,High Risk Customer
88,5,2183.0999999999995,2,2,1,122,High Risk Customer
115,5,3680.3399999999992,2,2,1,122,High Risk Customer
26,5,1247.2400000000002,2,3,1,123,Recent Customer
38,5,2402.4,2,2,1,122,High Risk Customer
17,4,2017.6600000000003,2,3,1,123,Recent Customer
20,8,5722.38,3,3,2,233,Very Loyal
142,6,3600.2600000000007,2,2,2,222,Potential Customer
59,7,3829.7,2,2,2,222,Potential Customer
9,6,2102.9900000000002,2,3,2,223,Loyal Customer
4,6,3488.7900000000004,2,3,2,223,Loyal Customer
40,7,2813.6600000000003,2,2,2,222,Potential Customer
169,6,3850.3199999999997,2,2,2,222,Potential Customer
94,6,4063.59,2,2,2,222,Potential Customer
101,10,4177.21,2,2,2,222,Potential Customer
9,7,1890.57,2,3,2,223,Loyal Customer
48,6,3918.11,2,2,2,222,Potential Customer
49,5,3309.79,2,2,1,122,High Risk Customer
115,9,8364.66,3,2,2,232,Potential Customer
97,2,1520.73,2,2,1,122,High Risk Customer
24,7,2907.28,2,3,2,223,Loyal Customer
9,4,1353.61,2,3,1,123,Recent Customer
35,5,3375.0600000000004,2,2,1,122,High Risk Customer
3,9,3320.21,2,3,2,223,Loyal Customer
76,9,3335.2000000000003,2,2,2,222,Potential Customer
14,2,1617.21,2,3,1,123,Recent Customer
75,10,5887.200000000001,3,2,2,232,Potential Customer
40,7,2307.78,2,2,2,222,Potential Customer
19,5,1704.7799999999997,2,3,1,123,Recent Customer
14,6,2715.28,2,3,2,223,Loyal Customer
91,5,4915.77,2,2,1,122,High Risk Customer
139,2,687.5100000000001,1,2,1,112,High Risk Customer
27,7,1172.1000000000001,2,3,2,223,Loyal Customer
124,5,2073.68,2,2,1,122,High Risk Customer
53,9,4593.01,2,2,2,222,Potential Customer
68,7,2735.71,2,2,2,222,Potential Customer
89,4,2707.8999999999996,2,2,1,122,High Risk Customer
75,3,151.93999999999997,1,2,1,112,High Risk Customer
133,3,894.9899999999998,1,2,1,112,High Risk Customer
128,6,4087.0400000000004,2,2,2,222,Potential Customer
45,4,1310.77,2,2,1,122,High Risk Customer
59,4,1061.48,2,2,1,122,High Risk Customer
7,7,4982.41,2,3,2,223,Loyal Customer
55,11,4043.5799999999995,2,2,3,322,Potential Customer
24,8,3977.8100000000004,2,3,2,223,Loyal Customer
128,4,1392.5900000000001,2,2,1,122,High Risk Customer
131,5,2959.58,2,2,1,122,High Risk Customer
83,3,1280.6399999999996,2,2,1,122,High Risk Customer
136,8,2714.7599999999998,2,2,2,222,Potential Customer
14,5,3369.4700000000003,2,3,1,123,Recent Customer
56,10,6985.24,3,2,2,232,Potential Customer
36,7,4290.77,2,2,2,222,Potential Customer
155,6,3533.3600000000006,2,2,2,222,Potential Customer
89,6,4389.7300000000005,2,2,2,222,Potential Customer
59,2,1694.59,2,2,1,122,High Risk Customer
11,5,2782.8799999999997,2,3,1,123,Recent Customer
95,4,1136.3400000000001,2,2,1,122,High Risk Customer
123,5,2144.29,2,2,1,122,High Risk Customer
14,9,6986.24,3,3,2,233,Very Loyal
19,10,4722.210000000001,2,3,2,223,Loyal Customer
10,6,2632.1600000000003,2,3,2,223,Loyal Customer
261,3,938.2500000000001,1,1,1,111,Lost Customer
55,4,2326.39,2,2,1,122,High Risk Customer
16,5,819.26,1,3,1,113,Recent Customer
154,2,624.9000000000001,1,2,1,112,High Risk Customer
41,4,1663.83,2,2,1,122,High Risk Customer
18,6,2795.7700000000004,2,3,2,223,Loyal Customer
138,7,2024.5299999999997,2,2,2,222,Potential Customer
119,8,3584.83,2,2,2,222,Potential Customer
43,2,1694.76,2,2,1,122,High Risk Customer
134,7,4175.150000000001,2,2,2,222,Potential Customer
12,6,2339.14,2,3,2,223,Loyal Customer
162,3,1751.35,2,2,1,122,High Risk Customer
61,5,1761.4599999999998,2,2,1,122,High Risk Customer
28,6,3920.83,2,3,2,223,Loyal Customer
2,6,5387.05,3,3,2,233,Very Loyal
6,8,4809.950000000001,2,3,2,223,Loyal Customer
73,2,1261.57,2,2,1,122,High Risk Customer
32,4,3662.2999999999993,2,2,1,122,High Risk Customer
49,3,825.7299999999999,1,2,1,112,High Risk Customer
4,7,6447.150000000001,3,3,2,233,Very Loyal
36,8,1676.4299999999998,2,2,2,222,Potential Customer
